iter	RMSE
0	2.576637427
1	2.441392357
2	2.330412829
3	2.221745614
4	2.118722301
5	2.015320881
6	1.932703935
7	1.838846297
8	1.753200598
9	1.672934445
10	1.606011517
11	1.543514671
12	1.481477037
13	1.415936105
14	1.361574104
15	1.316641444
16	1.270735571
17	1.224953043
18	1.185427234
19	1.142650524
20	1.104266621
21	1.075197333
22	1.043528223
23	1.015234839
24	0.9925896217
25	0.9674952578
26	0.94933986
27	0.932538878
28	0.9131511783
29	0.8959512015
30	0.883681803
31	0.8670720306
32	0.8524020159
33	0.8419101915
34	0.8307228911
35	0.8212540952
36	0.8116631431
37	0.7999885292
38	0.7902706813
39	0.7830547303
40	0.7729372082
41	0.7652225512
42	0.7587117236
43	0.7503923797
44	0.7443515046
45	0.7386302809
46	0.7340682089
47	0.7286682648
48	0.7246105926
49	0.7194243053
50	0.716526626
51	0.7131801183
52	0.7077374156
53	0.7031761733
54	0.6991380852
55	0.6956931277
56	0.6919216317
57	0.6893919507
58	0.688115497
59	0.6862304579
60	0.6823591187
61	0.6796339567
62	0.677055205
63	0.6747711957
64	0.6732593661
65	0.6707080053
66	0.6684087578
67	0.6669420954
68	0.6659072895
69	0.6630616911
70	0.6615249826
71	0.6595505807
72	0.6575913206
73	0.6556119456
74	0.6544932291
75	0.6530478987
76	0.6515913567
77	0.6506058265
78	0.6490831926
79	0.6473313263
80	0.6446694647
81	0.6438502848
82	0.6422526452
83	0.6408885627
84	0.6385439305
85	0.637178662
86	0.6357856388
87	0.633940201
88	0.6332804207
89	0.6320586797
90	0.6306269561
91	0.6288982543
92	0.628065464
93	0.6273702178
94	0.625443488
95	0.6239536848
96	0.6230864718
97	0.6222981025
98	0.6205639256
99	0.619084776
100	0.6180948624
101	0.616893149
102	0.6161103171
103	0.6154026277
104	0.6140872654
105	0.6128730089
106	0.6117765443
107	0.6108276445
108	0.60908446
109	0.6081975771
110	0.6068404407
111	0.6055399412
112	0.6043270336
113	0.6034071372
114	0.6026656998
115	0.6014054427
116	0.6008889895
117	0.5996225262
118	0.5990600152
