iter	Passed	Remaining
0	22	22518
1	28	14330
2	35	11771
3	42	10468
4	48	9673
5	55	9191
6	62	8813
7	68	8539
8	75	8313
9	82	8169
10	89	8045
11	96	7945
12	103	7834
13	110	7764
14	117	7717
15	124	7648
16	131	7601
17	138	7535
18	145	7500
19	152	7465
20	159	7413
21	166	7382
22	173	7366
23	181	7381
24	188	7358
25	196	7372
26	204	7356
27	211	7332
28	218	7301
29	225	7286
30	232	7261
31	239	7254
32	246	7234
33	253	7205
34	261	7198
35	267	7171
36	275	7174
37	282	7151
38	290	7146
39	296	7121
40	304	7120
41	311	7109
42	318	7089
43	325	7068
44	332	7046
45	339	7031
46	346	7021
47	353	7014
48	360	7000
49	368	6994
50	374	6969
51	381	6948
52	387	6931
53	394	6913
54	401	6898
55	408	6886
56	415	6867
57	421	6850
58	428	6836
59	435	6817
60	442	6817
61	450	6814
62	457	6807
63	464	6793
64	470	6771
65	477	6750
66	483	6728
67	489	6708
68	495	6684
69	501	6661
70	507	6642
71	513	6618
72	519	6598
73	525	6581
74	531	6558
75	538	6542
76	544	6525
77	550	6504
78	557	6493
79	563	6476
80	569	6461
81	575	6445
82	581	6428
83	588	6415
84	594	6404
85	602	6406
86	609	6393
87	616	6385
88	623	6384
89	630	6376
90	638	6377
91	645	6372
92	652	6361
93	659	6358
94	666	6350
95	673	6339
96	680	6335
97	687	6325
98	694	6321
99	701	6309
100	708	6302
101	715	6295
102	722	6287
103	729	6285
104	736	6277
105	743	6266
106	749	6256
107	756	6248
108	763	6242
109	771	6243
110	778	6235
111	785	6226
112	792	6217
113	800	6219
114	806	6207
115	813	6201
116	820	6191
117	827	6183
118	834	6176
119	841	6169
120	848	6164
121	855	6155
122	862	6149
123	869	6141
124	875	6129
125	882	6119
126	888	6107
127	894	6096
128	901	6084
129	907	6075
130	914	6068
131	921	6060
132	928	6052
133	935	6042
134	941	6034
135	948	6026
136	954	6015
137	961	6008
138	969	6003
139	976	5995
140	983	5991
141	991	5990
142	1000	5993
143	1009	5999
144	1016	5993
145	1024	5990
146	1046	6071
147	1054	6072
148	1061	6064
149	1070	6067
150	1078	6062
151	1086	6060
152	1093	6054
153	1100	6048
154	1108	6043
155	1116	6040
156	1123	6033
157	1131	6028
158	1138	6019
159	1146	6018
160	1153	6010
161	1160	6003
162	1167	5996
163	1175	5992
164	1182	5985
165	1190	5978
166	1197	5972
167	1204	5965
168	1211	5955
169	1218	5948
170	1236	5994
171	1242	5983
172	1249	5973
173	1256	5965
174	1263	5957
175	1270	5948
176	1278	5943
177	1285	5935
178	1292	5926
179	1298	5917
180	1305	5906
181	1311	5895
182	1318	5885
183	1324	5874
184	1331	5864
185	1337	5855
186	1344	5845
187	1351	5835
188	1357	5827
189	1364	5817
190	1372	5814
191	1379	5806
192	1386	5797
193	1393	5788
194	1400	5781
195	1407	5775
196	1415	5769
197	1422	5763
198	1430	5756
199	1436	5746
200	1443	5738
201	1451	5732
202	1458	5727
203	1465	5718
204	1472	5708
205	1479	5701
206	1486	5693
207	1493	5686
208	1500	5678
209	1506	5669
210	1514	5662
211	1521	5656
212	1528	5648
213	1536	5642
214	1542	5633
215	1549	5625
216	1557	5619
217	1564	5612
218	1571	5606
219	1579	5598
220	1587	5595
221	1594	5588
222	1611	5613
223	1619	5609
224	1626	5600
225	1633	5595
226	1641	5589
227	1648	5582
228	1656	5576
229	1663	5569
230	1671	5564
231	1678	5557
232	1686	5550
233	1692	5541
234	1700	5535
235	1708	5529
236	1714	5521
237	1721	5511
238	1728	5502
239	1734	5492
240	1740	5483
241	1747	5474
242	1754	5465
243	1761	5456
244	1768	5448
245	1774	5439
246	1781	5431
247	1788	5423
248	1795	5415
249	1802	5407
250	1809	5399
251	1816	5392
252	1822	5382
253	1829	5373
254	1835	5363
255	1842	5355
256	1849	5345
257	1855	5335
258	1861	5325
259	1867	5316
